iter	Passed	Remaining
0	449	219591
1	830	202567
2	1200	194817
3	1584	192496
4	1949	189083
5	2297	185361
6	2636	181930
7	2986	179923
8	3334	178186
9	3688	177063
10	4070	177262
11	4409	175642
12	4724	173348
13	5046	171591
14	5381	170423
15	5720	169462
16	6034	167907
17	6391	167599
18	6808	168788
19	7143	167863
20	7461	166640
21	7762	165126
22	8058	163630
23	8358	162296
24	8743	162636
25	9072	161916
26	9418	161509
27	9803	161755
28	10161	161540
29	10496	160953
30	10826	160303
31	11150	159590
32	11454	158629
33	11805	158328
34	12097	157273
35	12456	157087
36	12787	156556
37	13124	156111
38	13508	156209
39	13846	155773
40	14152	154992
41	14445	154083
42	14782	153667
43	15141	153474
44	15489	153173
45	15866	153149
46	16195	152654
47	16802	154723
48	18097	162879
49	21061	185345
50	23927	205962
51	25669	216214
52	28427	234388
53	29557	238647
54	30698	242795
55	33271	257851
56	34247	260164
57	34936	260213
58	36160	264152
59	38357	274894
60	39521	277942
61	40246	277833
62	40924	277376
63	41751	277907
64	42469	277683
65	42912	275680
66	43320	273502
67	43814	271907
68	44210	269745
69	44545	267270
70	44861	264744
71	45192	262366
72	45508	259957
73	45847	257736
74	46142	255320
75	46443	252996
76	46756	250784
77	47082	248691
78	47382	246509
79	47713	244532
80	48035	242548
81	48339	240519
82	48659	238609
83	48959	236636
84	49287	234838
85	49611	233059
86	49941	231336
87	50264	229618
88	50600	227988
89	50907	226257
90	51205	224514
91	51504	222811
92	51838	221287
93	52150	219696
94	52469	218161
95	52779	216615
96	53105	215159
97	53399	213598
98	53733	212220
99	54045	210777
100	54343	209302
101	54686	208023
102	55017	206714
103	55311	205291
104	55604	203883
105	55900	202508
106	56222	201245
107	56538	199978
108	56857	198741
109	57152	197434
110	57471	196230
111	57790	195042
112	58116	193892
113	58457	192806
114	58762	191616
115	59064	190432
116	59364	189256
117	59696	188194
118	60059	187244
119	60359	186109
120	60672	185026
121	61028	184086
122	61350	183053
123	61754	182275
124	62098	181327
125	62511	180588
126	62806	179517
127	63133	178548
128	63522	177764
129	63848	176810
130	64172	175860
131	64463	174831
132	64742	173782
133	65095	172941
134	65410	172006
135	65713	171048
136	66039	170159
137	66344	169226
138	66680	168379
139	66980	167450
140	67283	166537
141	67612	165697
142	67915	164801
143	68212	163899
144	68512	163013
145	68808	162123
146	69116	161271
147	69413	160401
148	69707	159532
149	70012	158695
150	70336	157908
151	70672	157152
152	71059	156516
153	71471	155937
154	71955	155516
155	72353	154910
156	72670	154135
157	72990	153372
158	73345	152688
159	73644	151892
160	73962	151140
161	74266	150366
162	74564	149587
163	74844	148776
164	75140	148004
165	75415	147197
166	75697	146409
167	75993	145654
168	76352	145023
169	76685	144349
170	77009	143660
171	77323	142959
172	77747	142461
173	78154	141935
174	78533	141360
175	78854	140683
176	79174	140008
177	79522	139387
178	79871	138770
179	80150	138037
180	80510	137446
181	80827	136785
182	81225	136264
183	81601	135706
184	81955	135116
185	82271	134465
186	82590	133822
187	82963	133270
188	83302	132666
189	83622	132035
190	83952	131422
191	84261	130780
192	84553	130116
193	84857	129472
194	85247	128964
195	85531	128297
196	85911	127776
197	86276	127235
198	86579	126606
199	86876	125971
200	87229	125419
201	87614	124916
202	87907	124283
203	88224	123686
204	88623	123208
205	88938	122613
206	89429	122263
207	89912	121900
208	90306	121416
209	90686	120915
210	91069	120418
211	91509	119998
212	92304	120038
213	92752	119624
214	93193	119201
215	93528	118643
216	93887	118116
217	94266	117617
218	94566	117020
219	94890	116457
220	95336	116043
221	95739	115577
222	96045	114995
223	96385	114458
224	96884	114108
225	97363	113734
226	97701	113196
227	98037	112656
228	98339	112081
229	98615	111478
230	98910	110900
231	99296	110424
232	99623	109884
233	99901	109294
234	100216	108745
235	100539	108208
236	100905	107718
237	101206	107160
238	101485	106580
239	101828	106070
240	102152	105543
241	102456	104996
242	102796	104488
243	103091	103936
244	103387	103387
245	103712	102869
246	104025	102340
247	104360	101835
248	104707	101343
249	105029	100828
250	105331	100295
251	105656	99786
252	105951	99251
253	106284	98752
254	106639	98275
255	106949	97758
256	107274	97256
257	107573	96732
258	107885	96222
259	108208	95722
260	108566	95255
261	108937	94800
262	109293	94333
263	109620	93841
264	109955	93358
265	110257	92848
266	110571	92349
267	110905	91869
268	111212	91367
269	111615	90945
270	112135	90619
271	112812	90415
272	115801	92047
273	118625	93514
274	119637	93534
275	120473	93410
276	121407	93356
277	122110	93120
278	124873	94438
279	125838	94378
280	127192	94602
281	128292	94627
282	129192	94497
283	130181	94427
284	131243	94403
285	135340	96536
286	138117	97692
287	139334	97727
288	140157	97479
289	140954	97209
290	141810	96977
291	142677	96746
292	143879	96738
293	145117	96745
294	145783	96365
295	146923	96294
296	148325	96386
297	148913	95944
298	149295	95369
299	149682	94798
300	150052	94219
301	150370	93608
302	150780	93055
303	151263	92549
304	151735	92036
305	152153	91490
306	152523	90917
307	152874	90335
308	153316	89806
309	154191	89530
310	155066	89250
311	155669	88811
312	156148	88301
313	156662	87810
314	157060	87255
315	157493	86721
316	157895	86170
317	158227	85582
318	158515	84972
319	158795	84360
320	159078	83751
321	159547	83242
322	160128	82791
323	160597	82281
324	161051	81764
325	161435	81213
326	161765	80635
327	162068	80045
328	162358	79451
329	162661	78865
330	162958	78279
331	163277	77704
332	163580	77123
333	163875	76540
334	164189	75968
335	164482	75387
336	164786	74814
337	165084	74239
338	165420	73682
339	165743	73121
